AAA	ASCII Adjust After Addition
VPMOVUSQB	Down Convert QWord to Byte
VPMOVUSQD	Down Convert QWord to DWord
VPMOVUSQW	Down Convert QWord to Word
VPMOVUSWB	Down Convert Word to Byte
VPMOVW2M	Convert a Vector Register to a Mask
VPMOVWB	Down Convert Word to Byte
VPMOVZXBD	Packed Move with Zero Extend
VPMOVZXBQ	Packed Move with Zero Extend
VPMOVZXBW	Packed Move with Zero Extend
VPMOVZXDQ	Packed Move with Zero Extend
VPMOVZXWD	Packed Move with Zero Extend
VPMOVZXWQ	Packed Move with Zero Extend
VPMULDQ	Multiply Packed Doubleword Integers
VPMULHRSW	Packed Multiply High with Round and Scale
VPMULHUW	Multiply Packed Unsigned Integers and Store High Result
VPMULHW	Multiply Packed Signed Integers and Store High Result
VPMULLD	Multiply Packed Integers and Store Low Result
VPMULLQ	Multiply Packed Integers and Store Low Result
VPMULLW	Multiply Packed Signed Integers and Store Low Result
VPMULUDQ	Multiply Packed Unsigned Doubleword Integers
VPOR	Bitwise Logical OR
VPORD	Bitwise Logical OR
VPORQ	Bitwise Logical OR
VPROLD	Bit Rotate Left
VPROLQ	Bit Rotate Left
VPROLVD	Bit Rotate Left
VPROLVQ	Bit Rotate Left
VPRORD	Bit Rotate Right
VPRORQ	Bit Rotate Right
VPRORVD	Bit Rotate Right
VPRORVQ	Bit Rotate Right
VPSADBW	Compute Sum of Absolute Differences
VPSCATTERDD	"Scatter Packed Dword	 Packed Qword with Signed Dword	 Signed Qword Indices"
VPSCATTERDQ	"Scatter Packed Dword	 Packed Qword with Signed Dword	 Signed Qword Indices"
VPSCATTERQD	"Scatter Packed Dword	 Packed Qword with Signed Dword	 Signed Qword Indices"
VPSCATTERQQ	"Scatter Packed Dword	 Packed Qword with Signed Dword	 Signed Qword Indices"
VPSHUFB	Packed Shuffle Bytes
VPSHUFD	Shuffle Packed Doublewords
VPSHUFHW	Shuffle Packed High Words
VPSHUFLW	Shuffle Packed Low Words
VPSIGNB	Packed SIGN
VPSIGND	Packed SIGN
VPSIGNW	Packed SIGN
VPSLLD	Shift Packed Data Left Logical
VPSLLDQ	Shift Double Quadword Left Logical
VPSLLQ	Shift Packed Data Left Logical
VPSLLVD	Variable Bit Shift Left Logical
VPSLLVQ	Variable Bit Shift Left Logical
VPSLLVW	Variable Bit Shift Left Logical
VPSLLW	Shift Packed Data Left Logical
VPSRAD	Shift Packed Data Right Arithmetic
VPSRAQ	Shift Packed Data Right Arithmetic
VPSRAVD	Variable Bit Shift Right Arithmetic
VPSRAVQ	Variable Bit Shift Right Arithmetic
VPSRAVW	Variable Bit Shift Right Arithmetic
VPSRAW	Shift Packed Data Right Arithmetic
VPSRLD	Shift Packed Data Right Logical
VPSRLDQ	Shift Double Quadword Right Logical
VPSRLQ	Shift Packed Data Right Logical
VPSRLVD	Variable Bit Shift Right Logical
VPSRLVQ	Variable Bit Shift Right Logical
VPSRLVW	Variable Bit Shift Right Logical
VPSRLW	Shift Packed Data Right Logical
VPSUBB	Subtract Packed Integers
VPSUBD	Subtract Packed Integers
VPSUBQ	Subtract Packed Quadword Integers
VPSUBSB	Subtract Packed Signed Integers with Signed Saturation
VPSUBSW	Subtract Packed Signed Integers with Signed Saturation
VPSUBUSB	Subtract Packed Unsigned Integers with Unsigned Saturation
VPSUBUSW	Subtract Packed Unsigned Integers with Unsigned Saturation
VPSUBW	Subtract Packed Integers
VPTERNLOGD	Bitwise Ternary Logic
VPTERNLOGQ	Bitwise Ternary Logic
VPTEST	PTEST- Logical Compare
VPTESTMB	Logical AND and Set Mask
VPTESTMD	Logical AND and Set Mask
VPTESTMQ	Logical AND and Set Mask
VPTESTMW	Logical AND and Set Mask
VPTESTNMB	Logical NAND and Set
VPTESTNMD	Logical NAND and Set
VPTESTNMQ	Logical NAND and Set
VPTESTNMW	Logical NAND and Set
VPUNPCKHBW	Unpack High Data
VPUNPCKHDQ	Unpack High Data
VPUNPCKHQDQ	Unpack High Data
VPUNPCKHWD	Unpack High Data
VPUNPCKLBW	Unpack Low Data
VPUNPCKLDQ	Unpack Low Data
VPUNPCKLQDQ	Unpack Low Data
VPUNPCKLWD	Unpack Low Data
VPXOR	Logical Exclusive OR
VPXORD	Logical Exclusive OR
VPXORQ	Logical Exclusive OR
VRANGEPD	Range Restriction Calculation For Packed Pairs of Float64 Values
VRANGEPS	Range Restriction Calculation For Packed Pairs of Float32 Values
VRANGESD	Range Restriction Calculation From a pair of Scalar Float64 Values
VRANGESS	Range Restriction Calculation From a Pair of Scalar Float32 Values
VRCP14PD	Compute Approximate Reciprocals of Packed Float64 Values
VRCP14PS	Compute Approximate Reciprocals of Packed Float32 Values
VRCP14SD	Compute Approximate Reciprocal of Scalar Float64 Value
VRCP14SS	Compute Approximate Reciprocal of Scalar Float32 Value
VRCP28PD	Approximation to the Reciprocal of Packed Double-Precision Floating-Point Values with Less Than 2^-28 Relative Error
VRCP28PS	Approximation to the Reciprocal of Packed Single-Precision Floating-Point Values with Less Than 2^-28 Relative Error
VRCP28SD	Approximation to the Reciprocal of Scalar Double-Precision Floating-Point Value with Less Than 2^-28 Relative Error
VRCP28SS	Approximation to the Reciprocal of Scalar Single-Precision Floating-Point Value with Less Than 2^-28 Relative Error
VRCPPS	Compute Reciprocals of Packed Single-Precision Floating-Point Values
VRCPSS	Compute Reciprocal of Scalar Single-Precision Floating-Point Values
VREDUCEPD	Perform Reduction Transformation on Packed Float64 Values
VREDUCEPS	Perform Reduction Transformation on Packed Float32 Values
VREDUCESD	Perform a Reduction Transformation on a Scalar Float64 Value
VREDUCESS	Perform a Reduction Transformation on a Scalar Float32 Value
VRNDSCALEPD	Round Packed Float64 Values To Include A Given Number Of Fraction Bits
VRNDSCALEPS	Round Packed Float32 Values To Include A Given Number Of Fraction Bits
VRNDSCALESD	Round Scalar Float64 Value To Include A Given Number Of Fraction Bits
VRNDSCALESS	Round Scalar Float32 Value To Include A Given Number Of Fraction Bits
VROUNDPD	Round Packed Double Precision Floating-Point Values
VROUNDPS	Round Packed Single Precision Floating-Point Values
VROUNDSD	Round Scalar Double Precision Floating-Point Values
VROUNDSS	Round Scalar Single Precision Floating-Point Values
VRSQRT14PD	Compute Approximate Reciprocals of Square Roots of Packed Float64 Values
VRSQRT14PS	Compute Approximate Reciprocals of Square Roots of Packed Float32 Values
VRSQRT14SD	Compute Approximate Reciprocal of Square Root of Scalar Float64 Value
VRSQRT14SS	Compute Approximate Reciprocal of Square Root of Scalar Float32 Value
VRSQRT28PD	Approximation to the Reciprocal Square Root of Packed Double-Precision Floating-Point Values with Less Than 2^-28 Relative Error
VRSQRT28PS	Approximation to the Reciprocal Square Root of Packed Single-Precision Floating-Point Values with Less Than 2^-28 Relative Error
VRSQRT28SD	Approximation to the Reciprocal Square Root of Scalar Double-Precision Floating-Point Value with Less Than 2^-28 Relative Error
VRSQRT28SS	Approximation to the Reciprocal Square Root of Scalar Single-Precision Floating-Point Value with Less Than 2^-28 Relative Error
VRSQRTPS	Compute Reciprocals of Square Roots of Packed Single-Precision Floating-Point Values
VRSQRTSS	Compute Reciprocal of Square Root of Scalar Single-Precision Floating-Point Value
VSCALEFPD	Scale Packed Float64 Values With Float64 Values
VSCALEFPS	Scale Packed Float32 Values With Float32 Values
VSCALEFSD	Scale Scalar Float64 Values With Float64 Values
VSCALEFSS	Scale Scalar Float32 Value With Float32 Value
VSCATTERDPD	"Scatter Packed Single	 Packed Double with Signed Dword and Qword Indices"
VSCATTERDPS	"Scatter Packed Single	 Packed Double with Signed Dword and Qword Indices"
VSCATTERPF0DPD	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T0 Hint with Intent to Write"
VSCATTERPF0DPS	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T0 Hint with Intent to Write"
VSCATTERPF0QPD	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T0 Hint with Intent to Write"
VSCATTERPF0QPS	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T0 Hint with Intent to Write"
VSCATTERPF1DPD	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T1 Hint with Intent to Write"
VSCATTERPF1DPS	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T1 Hint with Intent to Write"
VSCATTERPF1QPD	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T1 Hint with Intent to Write"
VSCATTERPF1QPS	"Sparse Prefetch Packed SP/DP Data Values with Signed Dword	 Signed Qword Indices Using T1 Hint with Intent to Write"
VSCATTERQPD	"Scatter Packed Single	 Packed Double with Signed Dword and Qword Indices"
VSCATTERQPS	"Scatter Packed Single	 Packed Double with Signed Dword and Qword Indices"
VSHUFF32x4	Shuffle Packed Values at 128-bit Granularity
VSHUFF64x2	Shuffle Packed Values at 128-bit Granularity
VSHUFI32x4	Shuffle Packed Values at 128-bit Granularity
VSHUFI64x2	Shuffle Packed Values at 128-bit Granularity
VSHUFPD	Packed Interleave Shuffle of Pairs of Double-Precision Floating-Point Values
VSHUFPS	Packed Interleave Shuffle of Quadruplets of Single-Precision Floating-Point Values
VSQRTPD	Square Root of Double-Precision Floating-Point Values
VSQRTPS	Square Root of Single-Precision Floating-Point Values
VSQRTSD	Compute Square Root of Scalar Double-Precision Floating-Point Value
VSQRTSS	Compute Square Root of Scalar Single-Precision Value
VSTMXCSR	Store MXCSR Register State
VSUBPD	Subtract Packed Double-Precision Floating-Point Values
VSUBPS	Subtract Packed Single-Precision Floating-Point Values
VSUBSD	Subtract Scalar Double-Precision Floating-Point Value
VSUBSS	Subtract Scalar Single-Precision Floating-Point Value
VTESTPD	Packed Bit Test
VTESTPS	Packed Bit Test
VUCOMISD	Unordered Compare Scalar Double-Precision Floating-Point Values and Set EFLAGS
VUCOMISS	Unordered Compare Scalar Single-Precision Floating-Point Values and Set EFLAGS
VUNPCKHPD	Unpack and Interleave High Packed Double-Precision Floating-Point Values
VUNPCKHPS	Unpack and Interleave High Packed Single-Precision Floating-Point Values
VUNPCKLPD	Unpack and Interleave Low Packed Double-Precision Floating-Point Values
VUNPCKLPS	Unpack and Interleave Low Packed Single-Precision Floating-Point Values
VXORPD	Bitwise Logical XOR of Packed Double Precision Floating-Point Values
VXORPS	Bitwise Logical XOR of Packed Single Precision Floating-Point Values
VZEROALL	Zero All YMM Registers
VZEROUPPER	Zero Upper Bits of YMM Registers
WAIT	Wait
WBINVD	Write Back and Invalidate Cache
WRFSBASE	Write FS/GS Segment Base
WRGSBASE	Write FS/GS Segment Base
WRMSR	Write to Model Specific Register
WRPKRU	Write Data to User Page Key Register
XABORT	Transactional Abort
XACQUIRE	Hardware Lock Elision Prefix Hints
XADD	Exchange and Add
XBEGIN	Transactional Begin
XCHG	Exchange Register/Memory with Register
XEND	Transactional End
XGETBV	Get Value of Extended Control Register
XLAT	Table Look-up Translation
XLATB	Table Look-up Translation
XOR	Logical Exclusive OR
XORPD	Bitwise Logical XOR of Packed Double Precision Floating-Point Values
XORPS	Bitwise Logical XOR of Packed Single Precision Floating-Point Values
XRELEASE	Hardware Lock Elision Prefix Hints
XRSTOR	Restore Processor Extended States
XRSTORS	Restore Processor Extended States Supervisor
XSAVE	Save Processor Extended States
XSAVEC	Save Processor Extended States with Compaction
XSAVEOPT	Save Processor Extended States Optimized
XSAVES	Save Processor Extended States Supervisor
XSETBV	Set Extended Control Register
XTEST	Test If In Transactional Execution
